ID,Session ID,Commande,User-Agent,Horodatage
1,167.94.146.62,GET /,,2025-02-19 08:12:10
2,167.94.146.62,GET /,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/),2025-02-19 08:12:14
3,167.94.146.62,GET /owa/auth/15.0.1497/themes/resources/favicon.ico,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/),2025-02-19 08:12:15
4,167.94.146.62,GET /favicon.ico,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/),2025-02-19 08:12:16
5,104.218.164.192,GET /,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2025-02-19 08:32:07
6,104.218.164.192,GET /owa/auth/15.0.1497/themes/resources/favicon.ico,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",2025-02-19 08:32:08
7,104.218.164.192,GET /robots.txt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",2025-02-19 08:32:09
8,104.218.164.192,GET /sitemap.xml,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",2025-02-19 08:32:10
9,104.218.164.192,GET /config.json,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",2025-02-19 08:32:11
10,104.218.164.192,GET /,python-requests/2.32.3,2025-02-19 08:32:14
11,45.148.10.186,GET /.env,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:25.0) Gecko/20100101 Firefox/25.0,2025-02-19 08:35:40
12,165.227.45.87,GET /.env,Mozilla/5.0 Keydrop,2025-02-19 09:05:58
